,Lemma,POS,meaning_en
83116,bate,SPEC,
83687,baxters,SPEC,
83961,bazel,SPEC,
84342,beagles,SPEC,
84549,beantwoordt,SPEC,
84705,beate,SPEC,
84898,beaujolais,SPEC,
85656,bedekt,ADJ,
85658,bedekt,WW,
86166,bedoeïenen,SPEC,
86269,bedplassers,SPEC,
86406,bedrieg,SPEC,
87008,bedrogen,ADJ,
87010,bedrogen,N,
87141,bedwelm,SPEC,
87290,beef,SPEC,
87850,beertje,SPEC,
88168,bega,SPEC,
88492,beginners,SPEC,
88643,begon,SPEC,
88657,begonnen,SPEC,
88810,begrafenissen,SPEC,
88971,begrijpelijkerwijs,BW,
89436,behekste,SPEC,
89696,beieren,SPEC,
89955,bekeken,SPEC,
90409,beknopte,SPEC,
90535,bekras,SPEC,
90570,bekrompen,ADJ,
90573,bekrompen,N,
91638,belden,SPEC,
91859,belemmer,SPEC,
91912,belet,SPEC,
92521,bellers,SPEC,
92527,belletje,SPEC,
92630,bello,SPEC,
92785,beloften,SPEC,
92868,beloofde,SPEC,
92874,beloont,SPEC,
93119,beman,SPEC,
93189,bemerk,SPEC,
93320,bemoeiallen,SPEC,
94948,benodigd,ADJ,
94953,benodigd,WW,
94967,benoemd,SPEC,
95783,bepraat,SPEC,
95875,berbers,SPEC,
96059,berekend,ADJ,
96061,berekend,WW,
96403,bergaf,BW,
96658,bergketens,SPEC,
96725,bergop,BW,
96910,berijd,SPEC,
97753,beroepshalve,BW,
97989,beroof,SPEC,
97996,berooid,ADJ,
97999,berooid,WW,
98466,beschaamd,ADJ,
98468,beschaamd,WW,
98670,beschermers,SPEC,
98818,bescheten,ADJ,
98820,bescheten,N,
99025,beschuldigde,SPEC,
99103,besefte,SPEC,
99167,beslis,SPEC,
99229,beslist,ADJ,
99232,beslist,WW,
99262,besluip,SPEC,
99341,besmettelijke,SPEC,
99393,besmeurde,SPEC,
99469,bespaar,SPEC,
99915,bestaat,SPEC,
99949,bestanden,SPEC,
99971,beste,SPEC,
100019,besteel,SPEC,
100189,bestendige,SPEC,
100259,bestoft,ADJ,
100262,bestoft,WW,
100534,bestuurde,SPEC,
100643,bet,SPEC,
101496,betoverden,SPEC,
101619,betreft,SPEC,
101653,betrekkingen,SPEC,
102361,beursmakelaars,SPEC,
102559,beveel,SPEC,
102563,beveelt,SPEC,
103122,bevende,SPEC,
103271,bevestig,SPEC,
103332,bevestigt,SPEC,
103412,bevlogen,ADJ,
103415,bevlogen,N,
103457,bevoegden,SPEC,
103568,bevooroordeeld,ADJ,
103571,bevooroordeeld,WW,
103941,bewaak,SPEC,
103950,bewaard,SPEC,
104237,bewapende,ADJ,
104239,bewapende,WW,
104449,bewegingssensoren,SPEC,
104637,bewijst,SPEC,
104797,bewoners,SPEC,
105136,bezield,ADJ,
105138,bezield,WW,
105193,bezige,SPEC,
105412,bezoekers,SPEC,
105517,bezopen,ADJ,
105520,bezopen,N,
