,Lemma,POS,unac_eq
702559,prostitué,N,prostitue
702564,prostitué,SPEC,prostitue
703627,présence,SPEC,presence
726529,resumé,N,resume
742087,rosé,ADJ,rose
742089,rosé,N,rose
749655,résistance,N,resistance
749657,résistance,SPEC,resistance
756692,santé,N,sante
756694,santé,SPEC,sante
758492,saté,N,sate
787318,slaapcoupé,N,slaapcoupe
799466,soufflé,N,souffle
799470,soufflé,SPEC,souffle
799473,soufflé,VNW,souffle
828948,subcomité,N,subcomite
842213,taugé,N,tauge
876044,truckerscafé,N,truckerscafe
881568,twéé,ADJ,twee
881570,twéé,N,twee
881573,twéé,SPEC,twee
882241,té,ADJ,te
882244,té,N,te
882247,té,SPEC,te
882250,té,WW,te
888259,uitéén,N,uiteen
888261,uitéén,WW,uiteen
897924,variété,N,variete
897927,variété,SPEC,variete
897946,variétéshow,N,varieteshow
947523,wannéér,ADJ,wanneer
947525,wannéér,N,wanneer
956892,welkomstcomité,N,welkomstcomite
956895,welkomstcomité,SPEC,welkomstcomite
975085,wég,N,weg
975087,wég,SPEC,weg
975106,wél,ADJ,wel
975108,wél,BW,wel
975120,wéér,ADJ,weer
975123,wéér,N,weer
975126,wéér,SPEC,weer
975128,wéér,VNW,weer
975130,wéér,WW,weer
975132,wéét,BW,weet
975134,wéét,N,weet
975136,wéét,WW,weet
997702,zéker,ADJ,zeker
997704,zéker,N,zeker
997714,zéér,ADJ,zeer
997717,zéér,BW,zeer
997719,zéér,N,zeer
997722,zéér,SPEC,zeer
1000176,én,VG,en
1000180,éne,ADJ,ene
1000182,éne,N,ene
1000184,éne,WW,ene
1000231,één,LID,een
1000233,één,N,een
1000236,één,SPEC,een
1000239,één,TW,een
1000245,één,VNW,een
1000335,ééncellig,ADJ,eencellig
1000380,éénmaal,ADJ,eenmaal
1000383,éénmaal,N,eenmaal
1000386,éénmaal,WW,eenmaal
1000390,éénmalig,ADJ,eenmalig
1000394,éénmalig,N,eenmalig
1000407,éénoog,N,eenoog
1000410,éénoog,VZ,eenoog
1000416,éénpersoons,N,eenpersoons
1000421,éénpersoonskamer,N,eenpersoonskamer
1000440,ééntje,N,eentje
1000442,ééntje,TW,eentje
240403,dít,N,dit
240405,dít,VNW,dit
240407,dít,WW,dit
1000543,ín,N,in
1000545,ín,VZ,in
1000547,ín,WW,in
191178,daarvóór,N,daarvoor
240418,dóór,ADJ,door
240420,dóór,BW,door
240422,dóór,N,door
260148,ervóór,N,ervoor
591938,móét,WW,moet
617371,nóg,BW,nog
617373,nóg,N,nog
617375,nóg,SPEC,nog
617380,nóóit,BW,nooit
882289,tóch,ADJ,toch
882291,tóch,BW,toch
943033,vóór,SPEC,voor
943035,vóór,VZ,voor
943037,vóór,WW,voor
943041,vóórdat,N,voordat
943044,vóórdat,VG,voordat
943046,vóórdat,WW,voordat
997748,zó,BW,zo
997750,zó,TSW,zo
1000688,óf,ADJ,of
1000690,óf,BW,of
1000692,óf,N,of
1000695,óf,VNW,of
1000697,óf,WW,of
1000710,óp,BW,op
1000712,óp,N,op
1000720,óók,BW,ook
617385,nú,BW,nu
617387,nú,SPEC,nu
1000750,úw,ADJ,uw
1000753,úw,N,uw
